company,role title,why-fit,warm-contact,status
Tiger Analytics,Senior Consultant - AI & Data Solutions,"Pure-play AI/analytics consultancy; senior IC band sits at 35-55 LPA fixed; values enterprise delivery scars from Big 4 + open to remote",,Not started
Fractal Analytics,Principal Consultant - Decision Sciences / GenAI,"Active GenAI hiring (FractalGPT); pays 40-60 LPA at Principal; ex-PwC/Accenture profiles convert well",,Not started
Tredence Analytics,Senior Manager - AI Solutions,"40 LPA band confirmed for Sr Mgr; their GenAI CoE wants enterprise data + Azure background specifically",,Not started
Mu Sigma,Apprentice Leader / Decision Sciences Lead,"Bangalore-heavy but remote options exist; senior IC compensation has improved; values consultative profile",,Not started
LatentView Analytics,Engagement Manager - AI & Analytics,"Listed (post-IPO); strong Azure + retail/CPG analytics; EM band 38-48 LPA; remote-friendly",,Not started
Quantiphi,Senior Solutions Architect - Applied AI,"Google Cloud + Azure GenAI partner; Solutions Architect title literally matches positioning; 40-55 LPA band",,Not started
Course5 Intelligence,Principal Consultant - GenAI & Analytics,"Strong GenAI bet (Compass.AI product); senior consulting roles in the band; remote-tolerant",,Not started
Accenture Strategy & Consulting,Manager / Sr Manager - Data & AI (Applied Intelligence),"Internal mobility advantage as ex-Accenture; Mgr/Sr Mgr in S&C pays 38-55 LPA; AI Studio team is the right home",,Not started
Capgemini Invent,Senior Manager - Insights & Data / AI Futures,"Invent is the high-end consulting arm; AI Futures practice is funded; Sr Mgr band fits 40 LPA target",,Not started
Deloitte USI,Manager - AI & Data Engineering (Omnia AI),"USI Mumbai/Bangalore Mgr band touches 40 LPA fixed + variable; needs Azure + GenAI delivery profile",,Not started
EY GDS,Senior Manager - Data & Analytics / AI,"GDS Sr Mgr band is competitive at 40-50 LPA; remote-default; active hiring for enterprise GenAI delivery",,Not started
KPMG Lighthouse,Manager / Associate Director - AI & Data,"Lighthouse is KPMG's analytics CoE; AD band crosses 45 LPA; needs Azure + BI background plus AI",,Not started
PwC AC India,Manager - Data & Analytics / GenAI Lab,"Boomerang advantage; Manager band at AC has lifted post-AI investment; GenAI Lab is the entry point",,Not started
BCG X (BCG Gamma),Lead Data Scientist / Senior Analytics Architect,"Stretch target; pays 50+ LPA but bar is high; need Project #1 + a referral to clear screen",,Not started
McKinsey QuantumBlack,Associate / Solution Associate,"Stretch; QB Associate pay is 45-60 LPA fixed; need strong AI portfolio to clear case + tech screen",,Not started
ZS Associates,Manager - Business Technology / AI Solutions,"Pharma-analytics heavy but BT roles are stack-aligned (Azure/Databricks); Manager band 40-48 LPA",,Not started
IBM Consulting,Senior Managing Consultant - Data & AI,"Watsonx push means heavy GenAI hiring; Sr Managing Consultant fits 40 LPA; remote-friendly",,Not started
Walmart Global Tech India,Staff Data Scientist / Principal Data Engineer,"GCC pays at the top of the band (45-60 LPA); needs strong tech bar but values enterprise delivery",,Not started
Target In India,Lead Data Scientist / Sr Manager - Analytics,"Bangalore GCC; pays 40-55 LPA; values Azure + retail analytics; remote within India common",,Not started
Goldman Sachs India,Vice President - Data Engineering / AI Engineering,"VP band starts ~45 LPA fixed; needs strong delivery + some quant adjacency; long interview loop but stable",,Not started
